dtc_code,description,possible_causes,causes,diagnostic_aids,application
P0010,Intake Camshaft Position Actuator Circuit/Open (Bank 1) The powertrain control module (PCM) monitors the variable camshaft timing (VCT) circuit,"     Open or short in the VCT circuit","     Open VPWR circuit"," This DTC is a circuit check. Testing should include the harness and solenoid coil. "," Key On Engine Off        Key On Engine Running               Continuous Memory"
P0011,Intake Camshaft Position Timing - Over-Advanced (Bank 1) The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position,"     Camshaft timing improperly set     Camshaft timing improperly set","     Continuous oil flow to the VCT piston chamber     Continuous oil flow to the VCT piston chamber"," This DTC is a functional check of the VCT unit. Diagnose any base engine concerns related to the engine oil pressure or engine timing. Refer to the Workshop Manual Section This DTC is a functional check of the VCT unit. Diagnose any base engine concerns related to the engine oil pressure or engine timing. Refer to the Workshop Manual Section"," Key On Engine Off         Key On Engine Running               Continuous Memory Key On Engine Off          Key On Engine Running             Continuous Memory"
P0016,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A The powertrain control module (PCM) monitors the variable camshaft timing (VCT),"     Worn timing chain tensioner","     Worn timing chain tensioner arm"," Check or adjust the timing. "," Key On Engine Off        Key On Engine Running            Continuous Memory"
P0018,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A See the description for DTC P0016. See the description for DTC P0010.," Causes: See the possible causes for DTC P0016. Causes: See the possible causes for DTC P0010.",," Aids: See the diagnostic aids for DTC P0016. Aids: See the diagnostic aids for DTC P0010."," Key On Engine Off      Key On Engine Running       Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory"
P0021,Intake Camshaft Position Timing - Over-Advanced (Bank 2) See the description for DTC P0011.," Causes: See the possible causes for DTC P0011.",," Aids: See the diagnostic aids for DTC P0011."," Key On Engine Off Key On Engine Running            Continuous Memory"
P0022,Intake Camshaft Position Timing - Over-Retarded (Bank 2) See the description for DTC P0012.," Causes: See the possible causes for DTC P0012.",," Aids: See the diagnostic aids for DTC P0012."," Key On Engine Off Key On Engine Running            Continuous Memory"
P0040,Oxygen Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1 The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a,"     Crossed HO2S harness connectors","     Crossed HO2S wiring at the harness connectors"," Connect the HO2S connector to the correct bank. "," Key On Engine Off        Key On Engine Running            Continuous Memory"
P0041,Oxygen Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2 The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a Heater current requirements too low or high in the heated oxygen sensor (HO2S) heater Heater current requirements too low or high in the heated oxygen sensor (HO2S) heater,"     Crossed HO2S harness connectors     VPWR circuit open See the possible causes for DTC P005x.","     Crossed HO2S wiring at the harness connectors     HO2S heater circuit open "," Connect the HO2S connector to the correct bank.  Inspect the connectors for signs of damage, water ingress, or corrosion.  See the diagnostic aids for DTC P005x. "," Key On Engine Off        Key On Engine Running            Continuous Memory Key On Engine Off         Key On Engine Running           Continuous Memory Key On Engine Off          Key On Engine Running            Continuous Memory"
P0068,Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) - Throttle Position Correlation The powertrain control module (PCM) monitors a vehicle operation rationality check by,"    Air leak between MAF sensor and throttle body","    TP sensor not seated properly"," Aids: Diagnose any MAP, MAF, or TP circuit DTCs first. Drive the vehicle and exercise the"," Key On Engine Off       Key On Engine Running             Continuous Memory"
P0097,Intake Air Temperature Sensor 2 Circuit Low Indicates the sensor signal is less than the self-test minimum. The intake air temperature,"    Grounded circuit in the harness","    Incorrect harness connection"," Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values."," Key On Engine Off           Key On Engine Running             Continuous Memory"
